,year,scenario,sadness,joy,love,anger,fear,surprise
0,2030.0,"the effects of the demographic change on growth and welfare are still unclear.
the most likely scenario is a slowdown in economic growth, with potential negative consequences for social cohesion and public finances.",0.11096159368753433,0.2032766342163086,0.020045194774866104,0.47305992245674133,0.17409680783748627,0.018559930846095085
1,2030.0,"economic growth is driven by innovation and investment, leading to more dynamic labour markets.
the need for fiscal discipline leads to lower public expenditure in some areas such as education or health care.",0.03645993024110794,0.10984181612730026,0.012041774578392506,0.4801792800426483,0.3565397560596466,0.004937410354614258
2,2030.0,"the lack of investment in infrastructure has led to a deterioration of the transport, energy and digital networks.
as a result, production costs have increased for companies using these infrastructures.",0.001149483839981258,0.9948542714118958,0.0007426021620631218,0.001378727494738996,0.0007027916144579649,0.0011721805203706026
3,2030.0,"the global economy is dominated by multinational companies that have achieved quasi-governmental status.
governmental institutions are subordinate to multinational interests, and nation states only play a minor role in the international arena",0.18239916861057281,0.4795643091201782,0.016541125252842903,0.267790824174881,0.04746444150805473,0.006240135990083218
4,2030.0,"the eu has established a competitive digital single market, with reduced regulatory burdens and an enhanced investment climate for the ict sector.
the european commission launches new initiatives to foster artificial intelligence (ai",0.650861382484436,0.011816869489848614,0.0019568249117583036,0.19437652826309204,0.1382724791765213,0.0027160183526575565
5,2030.0,"the eu is the most advanced in ai, with a clear strategic leadership and investments.
""the european digital single market has been fully functional for all areas of digital business by 2030.""",0.04903094470500946,0.20565518736839294,0.008675513789057732,0.2702341675758362,0.4430677592754364,0.02333645336329937
6,2030.0,"the lack of qualified workers in certain areas is a major obstacle to growth and competitiveness.
social innovation: the integration of social innovations such as co-operatives, mutuals or hybrid forms",0.039918407797813416,0.4339309334754944,0.020168032497167587,0.3373391032218933,0.16137021780014038,0.0072732227854430676
7,2030.0,"in 2030, europe is characterized by a growing disparity between the north and south. the economic crisis has resulted in high unemployment rates for young people across southern european countries.
as automation replaces many",0.012729384005069733,0.8758883476257324,0.007235508877784014,0.09346101433038712,0.006654938217252493,0.00403074873611331
8,2030.0,"the economic crisis has led to a loss of trust in the eu and its institutions, which are perceived as bureaucratic, slow-moving and unable to address citizens‚äö√",0.03577166795730591,0.2279781997203827,0.01186242513358593,0.40944692492485046,0.3049277663230896,0.010013017803430557
9,2030.0,"the eu has become a leader in the development of regulatory technology (regtech) and artificial intelligence (ai)-based tools to increase transparency, predictability and efficiency of financial regulation.
the",0.08959123492240906,0.5337279438972473,0.014533686451613903,0.21935388445854187,0.1317136585712433,0.01107960008084774
10,2030.0,"eu member states do not manage to establish a level playing field for digital players, which leads to regulatory arbitrage and fragmentation of the eu market.
an increase in tax avoidance by multinational companies",0.021882398054003716,0.7162705659866333,0.010061073116958141,0.1855400651693344,0.05785050615668297,0.008395308628678322
11,2030.0,"the growth of the european economy is stagnating and ageing population are putting pressure on social systems.
in this scenario, technological breakthroughs help increase productivity while providing new services to citizens through e",0.021629059687256813,0.153873473405838,0.00840237457305193,0.6522319316864014,0.15674453973770142,0.007118677720427513
12,2030.0,"in the field of research and innovation, eu member states do not coordinate their efforts.
european companies lack strategic r&i alliances with other european or non-eu firms. 
there",0.08326039463281631,0.35509932041168213,0.025921287015080452,0.3645869791507721,0.14715054631233215,0.02398158237338066
13,2030.0,"eu's economy is more fragmented and dependent on third countries for key technologies, leading to a loss of bargaining power in international trade.
the european defence fund aims at strengthening the eu’",0.03883541747927666,0.6935142874717712,0.007860906422138214,0.14127294719219208,0.10028118640184402,0.018235284835100174
14,2030.0,"europe is still a global player in the field of technology and innovation, but it has to rely on imports for most critical materials.
analyst: elisabeth griesshaber (",0.03305378556251526,0.41577428579330444,0.007515026722103357,0.34321779012680054,0.189832866191864,0.010606268420815468
15,2030.0,"the eu's gdp is 10% lower than in the 2020s, and investment has decreased by 5%.
""the most likely scenario"": public debt increases to 110% of gdp.",0.008654420264065266,0.9228420257568359,0.03435247018933296,0.03005552850663662,0.0024265777319669724,0.0016690290067344904
16,2030.0,"a comprehensive economic policy framework is implemented in the eu, providing strategic direction and coordination for public investment.
decentralised cooperation among regional/local authorities allows experimentation with different approaches to managing",0.02465233951807022,0.8594449162483215,0.005302642937749624,0.07149380445480347,0.03416519612073898,0.004941155202686787
17,2030.0,"the eu invests in digital infrastructure, promotes open science and sets up a european research area.
1932 
anticipate a future scenario for the european economy in the 2030: the",0.020785050466656685,0.7778686881065369,0.005483035463839769,0.16317830979824066,0.02987281046807766,0.0028121492359787226
18,2030.0,"investments in infrastructure, research and innovation are crucial to address the challenges of demographic change.
all member states must participate actively in eu policies by implementing common rules and standards across all areas.",0.03682525083422661,0.17129702866077423,0.004950697999447584,0.5189084410667419,0.2638210356235504,0.004197598434984684
19,2030.0,"the european economy is less competitive globally, leading to a loss of market shares and declining investment.
by 2030: europe's share in the world gdp decreases from 19% today to 15%.",0.05842917785048485,0.3838900923728943,0.007935806177556515,0.5246118307113647,0.02152244560420513,0.003610634710639715
20,2030.0,"a number of european countries have achieved high levels of growth, with the eu becoming a global leader in many advanced technologies.
the public and private sectors work closely together to achieve this goal.",0.07154029607772827,0.25000324845314026,0.01079599466174841,0.40017423033714294,0.24607311189174652,0.02141314372420311
