year,scenario,sadness,joy,love,anger,fear,surprise
2030.0,"students will attend virtual classes more frequently, with in-person classes being less common.",0.050479456782341,0.0986158475279808,0.008379889652132988,0.5849305391311646,0.2424105703830719,0.015183694660663605
2030.0,virtual reality and augmented reality will be used to enhance the learning experience for students.,0.030140656977891922,0.6163355112075806,0.004864041693508625,0.232209712266922,0.10840802639722824,0.008042018860578537
2030.0,artificial intelligence will be used to personalize the learning experience for each student.,0.08210039883852005,0.39901456236839294,0.043326620012521744,0.41817721724510193,0.051249679177999496,0.006131485104560852
2030.0,"traditional textbooks will be replaced by e-books, which will be interactive and multimedia-rich.",0.021030616015195847,0.043815623968839645,0.0051298984326422215,0.8070955872535706,0.12003200501203537,0.002896165708079934
2030.0,online assessments will replace traditional paper-and-pencil tests.,0.02552851289510727,0.4178837239742279,0.009830310009419918,0.351317822933197,0.19125838577747345,0.004181181080639362
2030.0,"the concept of grade levels will be replaced by competency-based education, where students progress based on mastery of skills and knowledge.",0.0578380785882473,0.7723727226257324,0.0038548242300748825,0.09137160331010818,0.0652080625295639,0.009354590438306332
2030.0,"school buildings will be redesigned to be more flexible, with more open spaces for collaboration and project-based learning.",0.08861362189054489,0.23705284297466278,0.03419450670480728,0.2122390866279602,0.37308958172798157,0.054810382425785065
2030.0,"more emphasis will be placed on social-emotional learning, with schools providing mental health services and support for students.",0.0701722651720047,0.25790390372276306,0.015410476364195347,0.4828639328479767,0.15534356236457825,0.018305882811546326
2030.0,"stem (science, technology, engineering, and math) education will become even more important, with more specialized programs and curriculum.",0.09565914422273636,0.5132966041564941,0.008930843323469162,0.22374559938907623,0.1528637558221817,0.005504158791154623
2030.0,schools will offer more personalized career guidance and opportunities for students to gain work experience before graduation.,0.07593204826116562,0.5276876091957092,0.009251647628843784,0.26560282707214355,0.10503402352333069,0.016491837799549103
2030.0,"bilingual education will become even more common, with a focus on preparing students for a globalized economy.",0.016017718240618706,0.044701915234327316,0.005948829930275679,0.9113240242004395,0.019372444599866867,0.0026350056286901236
2030.0,"schools will be more inclusive of students with disabilities and special needs, with more individualized support and accommodations.",0.02492341585457325,0.546500027179718,0.004632201977074146,0.11835560202598572,0.2943119406700134,0.011276756413280964
2030.0,there will be a greater emphasis on environmental education and sustainability.,0.03694630786776543,0.3424152135848999,0.0072151655331254005,0.2519876956939697,0.35445156693458557,0.006984037347137928
2030.0,"learning will become more student-centered, with students having more agency over their own learning and more opportunities for self-directed projects.",0.050630830228328705,0.23592402040958405,0.012236897833645344,0.5442195534706116,0.14795005321502686,0.00903863925486803
2030.0,"schools will prioritize project-based learning, with more opportunities for students to work collaboratively on real-world problems.",0.09300906211137772,0.8165420293807983,0.008755267597734928,0.047469399869441986,0.027581065893173218,0.006643226370215416
2030.0,"schools will place more emphasis on cultural competence and diversity, with curriculum that reflects the experiences of all students.",0.02225179225206375,0.0029434843454509974,0.0007793668773956597,0.9271895289421082,0.04591190069913864,0.0009238903876394033
2030.0,teachers will use more data and analytics to monitor student progress and personalize instruction.,0.023677267134189606,0.8435378670692444,0.00955163687467575,0.09497035294771194,0.022601928561925888,0.005660858005285263
2030.0,"there will be more opportunities for students to learn outside of the classroom, such as through internships, service learning, and travel.",0.05041075125336647,0.6056035161018372,0.016503529623150826,0.1889219880104065,0.13092826306819916,0.00763202179223299
2030.0,artificial intelligence will be used to assist teachers in grading and providing feedback on student work.,0.026443568989634514,0.037608999758958817,0.00974535197019577,0.27108821272850037,0.6476490497589111,0.007464862894266844
2030.0,"the use of video and multimedia in education will continue to increase, with more teachers using educational videos and podcasts to supplement their lessons.",0.022601036354899406,0.05595584586262703,0.012451409362256527,0.855823814868927,0.05032573267817497,0.002842278452590108
2030.0,"schools will invest more in technology infrastructure, with high-speed internet access and powerful computing resources becoming standard.",0.0736309215426445,0.18785955011844635,0.006272483617067337,0.22422084212303162,0.48928600549697876,0.01873018592596054
2030.0,"learning will become more interdisciplinary, with more integration of subjects like math, science, and art.",0.0060163382440805435,0.007232203148305416,0.0013126581907272339,0.36790013313293457,0.6161885261535645,0.001350121689029038
2030.0,"more schools will adopt a year-round calendar, with shorter breaks and more frequent opportunities for students to engage in learning.",0.01583004742860794,0.9532989263534546,0.005392833147197962,0.010149144567549229,0.013072212226688862,0.0022568723652511835
2030.0,"schools will prioritize student wellness, with more opportunities for physical activity and healthy eating.",0.024659238755702972,0.188746377825737,0.015432383865118027,0.7419566512107849,0.02485266514122486,0.004352670628577471
2030.0,students will have more opportunities to explore their interests and passions through extracurricular activities and elective courses.,0.014588306657969952,0.1022430956363678,0.004607435781508684,0.8033127784729004,0.07013363391160965,0.005114782601594925
2030.0,"schools will prioritize the development of critical thinking and problem-solving skills, with less emphasis on rote memorization and testing.",0.029550915583968163,0.8395976424217224,0.014669119380414486,0.06653986126184464,0.045025575906038284,0.004616899415850639
2030.0,"more schools will adopt a competency-based grading system, where students receive grades based on their mastery of specific skills and knowledge.",0.09178963303565979,0.37007346749305725,0.008714701980352402,0.27236422896385193,0.24438472092151642,0.01267333421856165
2030.0,"teachers will have more opportunities for professional development, with more time and resources devoted to ongoing training and support.",0.1128614991903305,0.018317820504307747,0.0015868268674239516,0.8184468746185303,0.04551897570490837,0.0032680677250027657
2030.0,"education will become more globalized, with more opportunities for students to learn from and collaborate with peers from around the world.",0.008913093246519566,0.9712606072425842,0.0028776265680789948,0.01052350178360939,0.004076705314218998,0.002348284935578704
