Title,URL,Publication Date
ESPAS - Global Trends to 2030,https://ec.europa.eu/assets/epsc/pages/espas/chapter4.html,
ESPAS - Global Trends to 2030,https://ec.europa.eu/assets/epsc/pages/espas/chapter1.html,
Three Scenarios for Europe’s Conflict Landscape in 2030 | DGAP,https://dgap.org/en/research/publications/three-scenarios-europes-conflict-landscape-2030,
Project - Scenarios on the future of fossil gas in the EU,https://www.agora-energiewende.de/en/projects/scenarios-on-the-future-of-fossil-gas-in-the-eu/,
Eastern European Futures ⋆ Visegrad Insight,https://visegradinsight.eu/eap2030/,
Scenario study - Germany 2030 - ScMI,https://www.scmi.de/en/germany-2030,
Western Balkans Futures 2030 ⋆ Visegrad Insight,https://visegradinsight.eu/western_balkans_scenarios/,
"Future European Migration Scenarios in 2030: Plausible, Probable | Global Migration Data Analysis Centre",https://gmdac.iom.int/news/future-european-migration-scenarios-2030-plausible-probable-and-relevant,
Temperatures in Europe increase more than twice global average | World Meteorological Organization,https://public.wmo.int/en/media/press-release/temperatures-europe-increase-more-twice-global-average,
Scenarios for population health inequalities in 2030 in Europe: the EURO-HEALTHY project experience | International Journal for Equity in Health | Full Text,https://equityhealthj.biomedcentral.com/articles/10.1186/s12939-019-1000-8,
Explore the future of work in Europe | McKinsey,https://www.mckinsey.com/featured-insights/future-of-work/explore-the-future-of-work-in-europe,
THE FUTURE OF MIGRATION IN THE EUROPEAN UNION: Future scenarios and tools to stimulate forward-looking discussions | i.Map,https://www.imap-migration.org/narrative/publications/future-migration-european-union-future-scenarios-and-tools-stimulate-forward,
Future Migration Scenarios,https://migrationresearch.com/migration-scenarios,
Worker participation 2030. Four scenarios | etui,https://www.etui.org/publications/books/worker-participation-2030-four-scenarios,
EU Semiconductor Futures: Scenarios and Challenges for 2030 | Royal United Services Institute,https://rusi.org/explore-our-research/publications/commentary/eu-semiconductor-futures-scenarios-and-challenges-2030,
BioMonitor Policy Scenarios for the European Bioeconomy to 2030 and 2050 - BIOEAST,https://bioeast.eu/bioeconomy-list/biomonitor-policy-scenarios-for-the-european-bioeconomy-to-2030-and-2050/,
Planning the future grid - TYNDP,https://tyndp.entsoe.eu/,
FUTURE CITIES – Polis180,https://polis180.org/global/internationale-kulturbeziehungen/future-cities/,
EU-Russia in 2030: Alternatives Scenarios — Valdai Club,https://valdaiclub.com/a/highlights/eu-russia-in-2030-alternatives-scenarios/,
Future outlook: Scenarios for Workers Participation 2030 | Worker Participation,https://www.worker-participation.eu/About-WP/Scenarios-2030,
"Fit for the future, not Fit-for-55 | Ember",https://ember-climate.org/insights/research/fit-for-the-future-not-fit-for-55/,
"Deutsche und europäische Szenarien bis 2030 und 2050, quantitativ | M-Five",https://m-five.de/en/methods-and-tools/future-scenarios,
Future scenarios for sustainable and circular plastics | Covestro AG,https://www.covestro.com/de/company/covestro-worldwide/italy/covestro-in-italy/stories/reshaping-plastics,
"EU
    
    
      
      | Climate Action Tracker",https://climateactiontracker.org/countries/eu/,
"3rd WS on ""Scenario Building"" - Mobility4EU",https://www.mobility4eu.eu/key-events/scenario-building/,
Europe's Energy Future,https://www.wartsila.com/energy/towards-100-renewable-energy/europes-energy-future,
Regional Climate Projections for Europe — English,https://www.dkrz.de/en/projects-and-partners/projects/focus/regional-climate-projections-for-europe,
Roadmap 2050,https://www.roadmap2050.eu/,
Net Zero by 2050 – Analysis - IEA,https://www.iea.org/reports/net-zero-by-2050,
US intelligence mulls three scenarios for EU in 2030 – EURACTIV.com,https://www.euractiv.com/section/global-europe/news/us-intelligence-mulls-three-scenarios-for-eu-in-2030/,
Scenarios for the future of the European process industry - the case of the chemical industry | European Journal of Futures Research | Full Text,https://eujournalfuturesresearch.springeropen.com/articles/10.1007/s40309-013-0010-9,
The Future of Europe - Territorial Scenarios — Futures Platform,https://www.futuresplatform.com/blog/future-europe-territorial-scenarios,
OPUS 4 | Germany's Soft Power 2030: Scenarios for an Unsettled World – Executive Summary,https://opus4.kobv.de/opus4-hsog/frontdoor/index/index/docId/4677,
Unconventional Mitigation - Stiftung Wissenschaft und Politik,https://www.swp-berlin.org/10.18449/2020RP08/,
"Report on local, national and EU scenarios | PROSEU",https://proseu.eu/resource/report-local-national-and-eu-scenarios,
An EU energy scenario compatible with the Paris Agreement - CAN Europe,https://caneurope.org/an-eu-energy-scenario-compatible-with-paris-agreement/,
How to shape an Overarching Sustainable Europe by 2030,https://concordeurope.org/2019/02/18/scenarios-overarching-sustainable-europe-2030-strategy/,
DIFFERENT SCENARIOS FOR IMPLEMENTATION OF THE EUROPEAN UNION’S AGENDA 2030 - ProQuest,https://search.proquest.com/openview/31535d7ecf47656597b3e31ffbed7790/1?pq-origsite=gscholar&cbl=4840101,
Eastern European Futures: Four Scenarios for the Eastern Partnership 2030 - Prism Ua,http://prismua.org/en/english-eastern-european-futures-four-scenarios-for-the-eastern-partnership-2030/,
What you want to know: Energy policy in the European Union - EU2020 - EN,https://www.eu2020.de/eu2020-en/news/article/energy-policy-in-the-european-union/2400832,
Doing Business in 2030 | Reports | Sustainable Business Network and Consultancy | BSR,https://www.bsr.org/en/reports/doing-business-in-2030-four-possible-futures,
Future energy scenarios - Terna spa,https://www.terna.it/en/electric-system/grid/national-electricity-transmission-grid-development-plan/scenarios,
The Future of Government 2030+: A Citizen Centric Perspective on New Government Models - EU4Digital,https://eufordigital.eu/library/the-future-of-government-2030-a-citizen-centric-perspective-on-new-government-models/,
Electricity’s strategic role in leading Europe’s decarbonization | Enel Group,https://www.enel.com/company/our-commitment/electricity-role-europe-decarbonization/electrification,
Carbon Pricing and the European Green Deal: What is the deal? | adelphi,https://www.adelphi.de/en/in-focus/carbon-pricing-and-european-green-deal-what-deal,
The Future of the European Power Market - Intereconomics,https://www.intereconomics.eu/contents/year/2015/number/4/article/the-future-of-the-european-power-market.html,
The Future Likely Looks Like Europe  | S&P Global,https://www.spglobal.com/en/research-insights/featured/markets-in-motion/the-future-likely-looks-like-europe,
"CROATIAN RURAL FUTURES IN 2030: FOUR ALTERNATIVE SCENARIOS FOR POSTSOCIALIST COUNTRYSIDE IN THE NEWEST E.U. MEMBER STATE: Geographical Review: Vol 112, No 3",https://www.tandfonline.com/doi/full/10.1080/00167428.2020.1871298,
Experience,https://experience.arcgis.com/experience/5f6596de6c4445a58aec956532b9813d,
Digital Europe 2030: Designing scenarios for ICT in future governance and policy making | Semantic Scholar,https://www.semanticscholar.org/paper/Digital-Europe-2030%3A-Designing-scenarios-for-ICT-in-Misuraca-Broster/56bba14115eb416a56298e4fabcaf18562f9c938,
Carbon Pricing and the European Green Deal: What is the deal? | adelphi,https://www.adelphi.de/en/in-focus/carbon-pricing-and-european-green-deal-what-deal,
The Future of the European Power Market - Intereconomics,https://www.intereconomics.eu/contents/year/2015/number/4/article/the-future-of-the-european-power-market.html,
